InputIndices,Test Time Results
0,0
100,0
200,0
300,1
400,0
500,1
600,1
700,1
800,2
900,2
1000,2
1100,2
1200,2
1300,3
1400,3
1500,4
1600,4
1700,3
1800,4
1900,4
2000,4
2100,5
2200,5
2300,5
2400,5
2500,6
2600,5
2700,6
2800,6
2900,6
3000,7
3100,7
3200,7
3300,8
3400,8
3500,8
3600,9
3700,8
3800,9
3900,9
4000,9
4100,9
4200,9
4300,11
4400,11
4500,10
4600,11
4700,17
4800,10
4900,12
5000,11
5100,12
5200,12
5300,12
5400,13
5500,13
5600,13
5700,13
5800,13
5900,14
6000,14
6100,15
6200,14
6300,14
6400,14
6500,15
6600,17
6700,15
6800,15
6900,16
7000,21
7100,16
7200,16
7300,17
7400,17
7500,17
7600,17
7700,17
7800,20
7900,17
8000,17
8100,18
8200,18
8300,19
8400,19
8500,20
8600,20
8700,22
8800,20
8900,20
9000,21
9100,21
9200,21
9300,21
9400,21
9500,22
9600,25
9700,22
9800,22
9900,22
10000,28
10100,27
10200,27
10300,27
10400,26
10500,27
10600,26
10700,26
10800,25
10900,25
11000,27
11100,24
11200,24
11300,24
11400,24
11500,23
11600,23
11700,23
11800,27
11900,23
12000,22
12100,22
12200,21
12300,21
12400,20
12500,20
12600,20
12700,19
12800,19
12900,19
13000,19
13100,18
13200,18
13300,18
13400,17
13500,17
13600,16
13700,16
13800,16
13900,15
14000,15
14100,15
14200,15
14300,14
14400,15
14500,13
14600,13
14700,12
14800,12
14900,12
15000,12
15100,11
15200,11
15300,11
15400,10
15500,10
15600,10
15700,10
15800,9
15900,10
16000,9
16100,9
16200,8
16300,8
16400,8
16500,8
16600,8
16700,8
16800,7
16900,7
17000,7
17100,6
17200,6
17300,6
17400,6
17500,6
17600,5
17700,5
17800,5
17900,5
18000,4
18100,4
18200,4
18300,4
18400,3
18500,3
18600,3
18700,3
18800,2
18900,2
19000,2
19100,2
19200,2
19300,1
19400,1
19500,1
19600,1
19700,0
19800,0
19900,0
